Position,Name,Prices
QB,"Jalen Hurts, PHI",$32 
QB,"Josh Allen, BUF",$32 
QB,"Lamar Jackson, BAL",$24 
QB,"Patrick Mahomes II, KC",$23 
QB,"Anthony Richardson, IND",$12 
QB,"Dak Prescott, DAL",$11 
QB,"C.J. Stroud, HOU",$10 
QB,"Joe Burrow, CIN",$10 
QB,"Kyler Murray, ARI",$9 
QB,"Jordan Love, GB",$5 
QB,"Brock Purdy, SF",$5 
QB,"Jayden Daniels, WAS",$4 
QB,"Trevor Lawrence, JAC",$3 
QB,"Caleb Williams, CHI",$3 
QB,"Taysom Hill, NO",$2 
QB,"Justin Herbert, LACINJ",$1 
QB,"Deshaun Watson, CLEINJ",$1 
QB,"Jared Goff, DET",$0 
QB,"Tua Tagovailoa, MIA",$0 
QB,"Kirk Cousins, ATL",$0 
QB,"Baker Mayfield, TB",$0 
QB,"Matthew Stafford, LAR",$0 
QB,"Aaron Rodgers, NYJ",$0 
QB,"Geno Smith, SEA",$0 
QB,"Will Levis, TEN",$0 
QB,"Daniel Jones, NYG",$0 
QB,"Derek Carr, NO",$0 
QB,"Sam Darnold, MIN",$0 
QB,"Bo Nix, DEN",$0 
QB,"Bryce Young, CAR",$0 
QB,"Russell Wilson, PIT",$0 
QB,"Gardner Minshew II, LV",$0 
QB,"Drake Maye, NE",$0 
RB,"Christian McCaffrey, SFINJ",$64 
RB,"Breece Hall, NYJ",$45 
RB,"Bijan Robinson, ATL",$43 
RB,"Jonathan Taylor, IND",$40 
RB,"Saquon Barkley, PHI",$38 
RB,"Kyren Williams, LAR",$35 
RB,"Derrick Henry, BAL",$35 
RB,"Isiah Pacheco, KC",$29 
RB,"Jahmyr Gibbs, DETINJ",$28 
RB,"Travis Etienne Jr., JAC",$28 
RB,"James Cook, BUF",$26 
RB,"Josh Jacobs, GB",$26 
RB,"De'Von Achane, MIA",$25 
RB,"Joe Mixon, HOU",$24 
RB,"Rachaad White, TB",$24 
RB,"Kenneth Walker III, SEA",$23 
RB,"Alvin Kamara, NO",$19 
RB,"David Montgomery, DET",$18 
RB,"Aaron Jones, MIN",$14 
RB,"Najee Harris, PIT",$14 
RB,"Zamir White, LV",$14 
RB,"James Conner, ARI",$14 
RB,"Raheem Mostert, MIA",$13 
RB,"Rhamondre Stevenson, NE",$13 
RB,"D'Andre Swift, CHI",$10 
RB,"Tony Pollard, TEN",$10 
RB,"Brian Robinson Jr., WAS",$9 
RB,"Javonte Williams, DEN",$9 
RB,"Devin Singletary, NYG",$8 
RB,"Zack Moss, CIN",$8 
RB,"Gus Edwards, LAC",$8 
RB,"Jaylen Warren, PITINJ",$7 
RB,"Ezekiel Elliott, DAL",$7 
RB,"Chase Brown, CIN",$7 
RB,"Nick Chubb, CLEPUP",$7 
RB,"Tyjae Spears, TEN",$6 
RB,"Austin Ekeler, WAS",$6 
RB,"Jonathon Brooks, CARINJ",$5 
RB,"Jerome Ford, CLE",$4 
RB,"J.K. Dobbins, LAC",$4 
RB,"Ty Chandler, MIN",$3 
RB,"Tyler Allgeier, ATL",$3 
RB,"Rico Dowdle, DAL",$3 
RB,"Chuba Hubbard, CAR",$3 
RB,"Blake Corum, LAR",$3 
RB,"Trey Benson, ARI",$2 
RB,"Khalil Herbert, CHI",$2 
RB,"Zach Charbonnet, SEAINJ",$2 
RB,"Antonio Gibson, NE",$2 
RB,"Jaleel McLaughlin, DEN",$1 
RB,"MarShawn Lloyd, GB",$0 
RB,"Alexander Mattison, LV",$0 
RB,"Braelon Allen, NYJ",$0 
RB,"Ray Davis, BUF",$0 
RB,"Jamaal Williams, NO",$0 
RB,"Bucky Irving, TB",$0 
RB,"Kendre Miller, NO",$0 
RB,"C. Edwards-helaire, KC",$0 
RB,"Tyrone Tracy Jr., NYG",$0 
RB,"Elijah Mitchell, SF",$0 
RB,"Miles Sanders, CAR",$0 
RB,"Tank Bigsby, JAC",$0 
RB,"Dameon Pierce, HOU",$0 
RB,"D'Onta Foreman, CLE",$0 
RB,"Jaylen Wright, MIA",$0 
RB,"Roschon Johnson, CHI",$0 
RB,"Keaton Mitchell, BAL",$0 
RB,"Kenneth Gainwell, PHI",$0 
RB,"AJ Dillon, GB",$0 
RB,"Dalvin Cook,",$0 
RB,"Justice Hill, BAL",$0 
RB,"Kimani Vidal, LAC",$0 
RB,"Samaje Perine, DEN",$0 
RB,"Audric Estime, DEN",$0 
RB,"Eric Gray, NYG",$0 
RB,"Chase Edmonds, TB",$0 
RB,"Will Shipley, PHI",$0 
RB,"Carson Steele, KC",$0 
RB,"Trey Sermon, IND",$0 
RB,"Ty Johnson, BUF",$0 
RB,"Isaiah Davis, NYJ",$0 
RB,"Emari Demercado, ARI",$0 
RB,"Jordan Mason, SF",$0 
RB,"Evan Hull, IND",$0 
RB,"Royce Freeman, DAL",$0 
RB,"Dylan Laube, LV",$0 
RB,"Isaac Guerendo, SF",$0 
RB,"Kendall Milton, PHI",$0 
RB,"Jase McClellan, ATL",$0 
RB,"Rasheen Ali, BAL",$0 
WR,"CeeDee Lamb, DAL",$57 
WR,"Tyreek Hill, MIAINJ",$56 
WR,"Ja'Marr Chase, CIN",$42 
WR,"Justin Jefferson, MIN",$40 
WR,"Amon-Ra St. Brown, DET",$40 
WR,"A.J. Brown, PHI",$36 
WR,"Puka Nacua, LARINJ",$35 
WR,"Garrett Wilson, NYJ",$29 
WR,"Deebo Samuel Sr., SF",$27 
WR,"Mike Evans, TB",$25 
WR,"Nico Collins, HOU",$24 
WR,"Chris Olave, NO",$24 
WR,"Marvin Harrison Jr., ARI",$22 
WR,"Drake London, ATL",$22 
WR,"DK Metcalf, SEA",$21 
WR,"Brandon Aiyuk, SF",$21 
WR,"Davante Adams, LVINJ",$19 
WR,"Cooper Kupp, LAR",$19 
WR,"DeVonta Smith, PHI",$18 
WR,"Jaylen Waddle, MIAINJ",$17 
WR,"DJ Moore, CHI",$17 
WR,"Amari Cooper, CLE",$17 
WR,"George Pickens, PIT",$16 
WR,"Tee Higgins, CIN",$16 
WR,"Tank Dell, HOU",$14 
WR,"Stefon Diggs, HOU",$14 
WR,"Malik Nabers, NYG",$14 
WR,"Zay Flowers, BAL",$13 
WR,"Calvin Ridley, TEN",$12 
WR,"Michael Pittman Jr., IND",$10 
WR,"Rashee Rice, KC",$10 
WR,"Chris Godwin, TB",$9 
WR,"Christian Kirk, JACINJ",$9 
WR,"Terry McLaurin, WAS",$8 
WR,"Jayden Reed, GB",$8 
WR,"Diontae Johnson, CAR",$6 
WR,"Christian Watson, GB",$5 
WR,"Keenan Allen, CHI",$5 
WR,"DeAndre Hopkins, TENINJ",$4 
WR,"Xavier Worthy, KC",$4 
WR,"Jordan Addison, MININJ",$3 
WR,"Rome Odunze, CHI",$3 
WR,"Courtland Sutton, DEN",$2 
WR,"Hollywood Brown, KCINJ",$2 
WR,"Brian Thomas Jr., JAC",$1 
WR,"Jameson Williams, DET",$1 
WR,"Ladd McConkey, LAC",$1 
WR,"Jerry Jeudy, CLE",$1 
WR,"Jaxon Smith-Njigba, SEA",$0 
WR,"Tyler Lockett, SEA",$0 
WR,"Joshua Palmer, LAC",$0 
WR,"Curtis Samuel, BUF",$0 
